node_id,location
6361519490,大阪府 松原市
8242064818,宮城県 七ヶ宿町
5972234387,兵庫県 神戸市
268243581,徳島県 徳島市
8905740427,長野県 野沢温泉村
2014668794,福井県 鯖江市
11512658640,石川県 志賀町
12856481958,大分県 別府市
6507833858,福岡県 大木町
9293215786,沖縄県 宮古島市
9819299117,愛知県 名古屋市
13047573498,江戸川区
3486469787,神奈川県 横浜市
6678118876,千葉県 東金市
10158899715,大阪府 東大阪市
6510554973,鹿児島県 霧島市
9817566625,愛知県 名古屋市
6483300845,大分県 杵築市
6418059979,群馬県 下仁田町
5472500516,愛媛県 今治市
6728721719,神奈川県 秦野市
10287734738,香川県 高松市
6466541641,広島県 呉市
6566820445,愛媛県 松山市
6549848539,栃木県 大田原市
6586874185,江戸川区
6521477921,熊本県 和水町
6475610605,兵庫県 南あわじ市
5808630975,墨田区
6313737687,兵庫県 尼崎市
12570593324,岡山県 岡山市
6435176185,足立区
6513144849,鹿児島県 さつま町
6854494356,富山県 富山市
6520566172,熊本県 五木村
4271455115,鹿児島県 三島村
6469999226,群馬県 長野原町
3186060461,山口県 岩国市
11559697171,大阪府 豊中市
13406751135,徳島県 板野町
6520732970,熊本県 熊本市
6713412488,多摩市
7409645472,兵庫県 尼崎市
5829109250,江東区
4605104489,神奈川県 箱根町
5160785822,栃木県 日光市
9123890816,長野県 山ノ内町
4622724851,山口県 長門市
6665353987,岡山県 岡山市
5474538427,神奈川県 川崎市
5212887032,長野県 松本市
5408681248,大阪府 大阪市
4535410684,秋田県 仙北市
6483948097,宮崎県 西都市
4356790717,北海道 北斗市
4242363192,山梨県 北杜市
6332717441,岐阜県 可児市
6531359529,岐阜県 羽島市
6313477109,栃木県 栃木市
6486034261,鹿児島県 鹿屋市
6520448955,鹿児島県 霧島市
5104538927,和歌山県 田辺市
6330087239,鹿児島県 霧島市
6464013186,中央区
5563503546,大阪府 堺市
6476789165,島根県 大田市
6894843190,和歌山県 和歌山市
6516290638,大分県 九重町
5930815696,北海道 羅臼町
5224243525,大阪府 大阪市
5332520552,北海道 新得町
7333774285,大阪府 大阪市
6029038608,大阪府 寝屋川市
6305032399,北海道 白老町
9817775323,愛知県 名古屋市
6498269772,熊本県 天草市
6813833556,長野県 安曇野市
6435175886,足立区
6487285543,鹿児島県 垂水市
6448934108,秋田県 湯沢市
6654540565,福井県 福井市
12083303569,福岡県 朝倉市
6350171579,長野県 佐久市
6033500735,大阪府 門真市
2722705337,大田区
7053504498,茨城県 石岡市
7157919385,埼玉県 さいたま市
8278599864,静岡県 伊東市
3833604259,長崎県 雲仙市
5851766773,岐阜県 飛驒市
9691544932,愛知県 名古屋市
4872104821,北海道 上川町
3731342309,神奈川県 横須賀市
6481020444,徳島県 美馬市
5821844977,岡山県 倉敷市
6711181086,北海道 羅臼町
10815611581,福島県 福島市
4708341094,静岡県 伊豆市
6477971788,高知県 南国市
6457265004,荒川区
9817566620,愛知県 名古屋市
2286379666,宮城県 蔵王町
7308678686,鳥取県 三朝町
6680114563,北海道 札幌市
5612703922,新潟県 上越市
6518718330,大分県 宇佐市
6332846047,大分県 中津市
5712551856,愛知県 名古屋市
13373331822,長崎県 長崎市
6680868265,静岡県 伊豆市
