CLUSTER_A,CLUSTER_B,SIMILARITY,CONTRAST
0,4,両クラスタとも、特定の地形形成プロセス（海岸堆積作用または火山活動）が生み出した地表面を立地基盤とし、その地形的個性を活かした観光・滞在機能が集積している点で共通する。,クラスタAは波浪・沿岸流による海岸性堆積地形（砂丘・砂州・砂礫州）を基盤とする低〜中位の沿岸立地であるのに対し、クラスタBは火山噴出物の累積・カルデラ陥没・溶岩流に起源を持つ火山性地形を基盤とする内陸高標高立地であり、地形形成プロセスが根本的に異なる。
1,40,両クラスタとも、単一機能に還元されない複合的な施設集積（商業・行政・医療・交通等）を持ち、地域住民の生活機能と外来者向けの観光・物販機能が重層する「在地型の多機能結節点」としての性格を共有している。,クラスタAは「鳴子系こけし・漆器」という固有の物質文化の製造・販売機能が街区の骨格を形成する伝統工芸商業集積地であるのに対し、クラスタBは鉄道・国道・道道など公共交通インフラの交差を起点に生活・行政・商業機能が凝縮した交通結節型中心市街地であり、集積の核となる原理が「文化的固有性」か「交通動線上の利便性」かで本質的に異なる。
2,75,両クラスタは、地形分類・標高・地域が大きく異なるにもかかわらず、いずれも「生活インフラが面的に集積した居住・商業空間」という機能的性質を共有する。城下町・宿場町・郊外住宅地・副都心を問わず、日常的な生活サービスが地域に根付いた複合的市街地・集落という本質において共通している。,クラスタAは歴史的城下町・宿場町・山間集落など「既成市街地・伝統的集落における生活密着型の徒歩圏インフラ」が卓越するのに対し、クラスタBは幹線国道・高速IC・地下鉄ターミナルなど広域交通結節点に依存した「郊外型ロードサイド・計画的副都心の複合商業・居住圏」が卓越する点が最も本質的な差異である。
3,21,両クラスタはともに、本土から隔絶された離島・海岸縁辺部の低標高地帯に立地し、自然地形（火山性・海成・堆積性）を基盤としながら人的利用が重層的に展開されている点で共通する。いずれも標高が概ね200m未満の低地〜丘陵域に収まり、港湾・海岸線への近接性が立地の本質的条件となっている。,クラスタAは琉球石灰岩・沖積・埋立地など多様な地質基盤の上に観光・商業施設が計画的に集積した「人工造成主導型の土地利用複合体」であるのに対し、クラスタBは伊豆諸島〜トカラ列島〜屋久島に連なる火山フロントの地熱・火成活動が地表形態を規定する「火山性自然地形主導型の島嶼地帯」であり、地形形成の主因が人為的造成か現役の火成活動かという点が両者を根本的に分ける。
5,16,両クラスタとも、山地・丘陵・谷底低地などの起伏ある地形上に、宗教施設・文化財・宿泊・商業機能が重層的に集積した「山間観光集落型土地利用」を共有しており、平坦な都市市街地とは異なる地形制約下での複合的土地利用が本質的共通点である。,クラスタAは河川沿い谷底低地への施設集積という「水平方向の線的集積構造」を示すのに対し、クラスタBは急傾斜の丘陵・山地地形に刻まれた石段・坂道・歩行者専用路による「垂直方向の回遊型街路空間」を本質とし、動線の方向性と地形との関係性が根本的に異なる。
6,89,両クラスタとも、都市中心部から離れた関東〜地方の台地・丘陵・扇状地縁辺に位置し、農地・緑地・コミュニティ施設・道の駅などが混在する「非都市型の地域生活基盤」を共有している。,クラスタAは入間川・都幾川系の沖積扇状地を物理的基盤とする関東平野西縁の農村・郊外的低地帯であるのに対し、クラスタBは火山地・谷底低地・砂礫質台地など多様な「地形的周縁部」に全国分散立地する点が本質的な差異である。
7,96,両クラスタはともに火山性地質・地形を基盤に持ち、低〜中標高帯に立地する点で共通する。また、国道・県道・港湾・鉄道など多様な交通インフラが周辺に存在し、地域の動線上に位置する結節的な土地としての物理的性格を共有している。,クラスタAは沿岸・離島の辺縁部に位置し、行政・金融・教育・港湾など生活インフラと観光動線が交差する「機能集積型の生活拠点核」であるのに対し、クラスタBは九州南部内陸の火山性地質帯に偏在し、古墳・城郭・神社など歴史文化資源が点在する「内陸火山性地形帯の歴史的土地利用域」としての性格が際立つ。
8,15,両クラスタとも、鉄道駅・幹線交通インフラを核として宿泊・商業・公共施設が複合的に集積する「交通結節型の地域サービス拠点」としての性格を共有しており、単純な住宅地や自然地とは区別される施設密度の高い生活・観光機能の混在地帯を形成している。,クラスタAは平坦〜緩傾斜地に郵便局・学校・小売業など住民の日常生活を支える行政・生活サービスが卓越する「生活機能核」であるのに対し、クラスタBは急崖・擁壁・斜面といった地形的制約に建築的に適応しながら宿泊・入浴・観光施設が斜面を多層占拠する「傾斜地型観光集積帯」であり、地形への適応様式と施設機能の主軸が根本的に異なる。
9,70,両クラスタはともに、都市中枢から離れた旧町村・小集落スケールの生活圏に立地し、地域固有の地形・水系条件に根ざした小規模な拠点機能（観光・福祉・公共サービス）を担う末端定住地点という共通の本質を持つ。,クラスタAは河川堆積地形と地下水・断層系に規定された自然条件主導の観光・交流拠点であるのに対し、クラスタBは地形的均質性を持たず、人口減少下で高齢者福祉施設が集約された行政末端の生活維持インフラ拠点であり、立地の規定因が「自然地形」か「社会的縮退への対応」かという点で本質的に異なる。
10,11,両クラスタとも、波浪・漂砂・堆積作用・人工改変によって形成された低標高の不安定地形上に立地し、海岸線や水陸境界帯への近接性を共通の地形的基盤として持つ「脆弱な堆積面上の定着地」という本質を共有している。,クラスタAが砂州・砂丘・砂嘴など砂質沿岸堆積地形に特化した均質な地形的文脈を持つのに対し、クラスタBは干拓地・埋立地・火山山麓・岩石台地など多様な「地形的遷移帯」を包含し、地形形成プロセスの多元性と土地利用の広域的分散が際立つ。
