CLUSTER_A,CLUSTER_B,SIMILARITY,CONTRAST
0,4,両クラスタとも、温泉そのものの湯治・療養機能よりも「景観・体験との一体的享受」を核とし、周辺の地形・自然環境や観光施設と不可分に結びついた「体験型温泉地」として成立している点が共通する。,クラスタAは日本海沿岸の低標高海岸堆積地形に立地し、海景・夕日・塩化物泉という自然地形主導の体験を提供するのに対し、クラスタBは高原・山岳域においてスキー場・ホテルチェーン・グランピング等の人工的リゾート開発に温泉が組み込まれており、体験の主役が「自然地形」か「リゾート施設群」かという点で本質的に異なる。
1,40,両クラスタとも、温泉施設が郵便局・銀行・商店・公共施設などの地域生活インフラと同一エリアに共存し、純粋な観光リゾートや秘湯とは異なる「生活圏に埋め込まれた温泉」という本質的性格を共有している。,クラスタAは鉄道駅を核とした商業・行政・医療の集積による「駅前温泉街型」の都市的複合構造を持ち、内陸火山性地形（標高22〜477m）に立地するのに対し、クラスタBは砂州・埋立地・谷底低地など低標高沿岸・平野部地形（標高2.8〜10.7m）に分布し、道の駅・福祉施設・市電など多様な生活インフラとの緩やかな共存を特徴とする「面的生活圏融合型」である。
2,75,両クラスタはともに「温泉・入浴施設が歴史的・地理的文脈に関わらず地域住民の生活圏に組み込まれた公衆浴場」という性格を共有し、秘湯・山岳療養地型とは一線を画す「アクセス可能な日常的入浴空間」としての本質を持つ。,クラスタAが近世城下町・宿場町・陣屋町という歴史的都市核への埋め込みを本質とし、文化的文脈と温泉の真正性を背景に持つのに対し、クラスタBは現代の住宅地・商業地・交通結節点に立地する健康増進・レジャー需要対応型施設であり、歴史的文脈を持たない純粋な生活インフラとしての性格が本質的差異である。
3,21,両クラスタとも、琉球弧・南西諸島から伊豆諸島に至る離島・辺境の海岸線ゼロメートル帯に立地し、海洋環境（岩礁・海浜・干潟）と温泉湧出が地形的に直結している点を本質的共通基盤とする。海との近接性が施設立地と入浴体験の核心を成す「海縁温泉」という類型に属する。,クラスタBが潮汐・波浪という自然条件そのものを入浴体験の規定因子とする「自噴型野湯」であるのに対し、クラスタAは同じ海縁立地でも観光リゾート・タラソテラピー・テーマパーク内スパへと施設化・商業化が進んだ「海洋景観活用型温浴施設」であり、自然への従属度と人工的介入の深度が両者を根本的に分かつ。
5,16,両クラスタとも、旅館・ホテルの宿泊機能に加えて公共・市営の外湯施設（共同浴場・足湯・泉源広場）が観光動線の核を形成する「外湯回遊型温泉街」の構造を共有し、温泉が地域住民と観光客双方に開かれた公共インフラとして機能している点が本質的共通特徴である。,クラスタAが「河川の刻んだ谷底低地」という地形的制約のもとで外湯文化が自然発生的に根付いた「地形従属型・入湯回遊型」温泉街であるのに対し、クラスタBは泉源そのものが街区に露出し、中世以来の宗教・権力的文脈と一体化した「泉源露出型・歴史文化複合型」温泉都市であり、温泉利用の起源と都市形成の論理が根本的に異なる。
6,89,両クラスタとも「温泉入浴を核とした地域住民向け日帰り公共施設」という機能的同質性を持ち、秘湯・宿泊型ではなく行政・地域振興と結びついた公衆浴場としての性格を共有する。,クラスタAは関東平野縁辺部の低地・扇状地に集中するamenity=public_bath特化型の小規模地域密着施設であるのに対し、クラスタBは全国に分散し、福祉・スポーツ・道の駅等と複合化した行政主導の多機能複合施設群であり、地理的集中度・施設複合性・地形多様性のいずれにおいても対照的である。
7,96,両クラスタとも「温泉機能を核とした公共的・公設的施設」であり、地域住民と来訪者が共用する日帰り入浴を主体とし、駐車場を備えた自動車アクセス前提の地域生活インフラとしての性格を共有している。,クラスタAは海岸線・島嶼など陸海境界域に立地し道の駅・スポーツ施設等を複合した観光文脈を持つ「沿岸公共複合レジャー施設」であるのに対し、クラスタBは九州南部火山帯縁辺の内陸山間部に分布し、amenity=public_bathに特化した地元住民向け「地域密着型公衆浴場」であり、立地環境・施設複合性・観光志向の有無において本質的に異なる。
8,22,両クラスタとも、観光旅館や秘湯ではなく地域住民の生活インフラとして機能する公衆浴場・日帰り温泉施設であり、地方自治体・地域組織が運営に関与し、温泉が「日常的な公共サービス」として位置づけられている点が共通する本質的特徴である。,クラスタAは住民の日常利用を主目的とした小規模・生活密着型施設が核であるのに対し、クラスタBは自治体・公社主導による地域課題解決・産業転換・広域集客を明示的な政策目的として温泉を活用する「公共福祉・地域振興型」施設であり、施設の社会的役割と運営主体の意図において本質的に異なる。
9,70,両クラスタとも、温泉施設が観光リゾートとして自立するのではなく、道の駅・健康福祉センター・老人福祉施設・公衆浴場など地域の生活インフラと一体化・隣接し、住民が「通う・立ち寄る」日常的利用を主目的とする生活密着型温泉という本質を共有している。,クラスタAは東北・北陸・山陰など全国の多様な地形に分散しつつも「農地・門前町・河川沿い温泉街」など地域固有の生活文脈に根ざした湯治文化の継承が核心であるのに対し、クラスタBは道の駅・福祉施設・公衆浴場との複合運営による行政・福祉サービスの代替・補完機能が核心であり、前者が「文化的生活インフラ」、後者が「制度的生活インフラ」として温泉を位置づける点が最も本質的な差異である。
10,74,両クラスタとも標高10m以下の沿岸低地（砂州・砂礫州・磯・岩礁等）に立地し、海景・潮流・海浜環境との物理的近接性を温泉体験の核心とする「海浜直結型温泉地」という本質的性格を共有している。また、公共浴場から大規模リゾートまで施設規模・業態が多様であり、観光と生活インフラの両機能を兼備する点も共通する。,クラスタAは砂丘・砂州・砂礫州などの堆積海岸地形に立地する旅館・ホテル群を伴う「温泉街型リゾート」が主体であるのに対し、クラスタBは磯・岩礁・埋立地・扇状地末端など多様な沿岸地形に立地し、野湯・道の駅足湯・コミュニティ施設付属浴場など地域住民向け生活インフラ色が強い「公共浴場型」が主体である点が最も本質的な差異である。
